100403,CCN SMS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100403,,A,20140821
100404,DWF Output Record: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100404,,A,20140821
100405,EMM NGIN: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100405,,A,20140821
100406,EMM data: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100406,,A,20140821
100407,ER ICCS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100407,,A,20140821
100408,ER MIS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100408,,A,20140821
100409,GMSC ICCS (Roaming MT): ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100409,,A,20140821
100410,GPRS ICCS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100410,,A,20140821
100411,GSM Strip: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100411,,A,20140821
100412,GSM: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100412,,A,20140821
100413,ICCS Unbilled: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100413,,A,20140821
100414,MIS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100414,,A,20140821
100415,MMS ICCS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100415,,A,20140821
100416,MMS Interconnect: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100416,,A,20140821
100417,MMSC ARP: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100417,,A,20140821
100418,MSS Interconnect: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100418,,A,20140821
100419,MSS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100419,,A,20140821
100420,NGIN raw: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100420,,A,20140821
100421,PGW: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100421,,A,20140821
100422,Raw MMS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100422,,A,20140821
100423,SGSN: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100423,,A,20140821
100424,SGW: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100424,,A,20140821
100425,SMS ICCS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100425,,A,20140821
100426,SMS Interconnect: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100426,,A,20140821
100427,SMS Strip: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100427,,A,20140821
100428,SMSC: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100428,,A,20140821
100429,TAPIN MO: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100429,,A,20140821
100430,Tapin: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100430,,A,20140821
100431,Tapout: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100431,,A,20140821
100432,WAP ICCS: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,100432,,A,20140821
100433,ST_AGG_FAILED - EDR Count (Daily) - Metric Threshold,100433,,A,20140821
100434,ST_AGG_REJECTED - EDR Count (Daily) - Metric Threshold,100434,,A,20140821
101001,BT: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,101001,,I,20141001
101002,BT: ST_ALL - EDR Count - Metric Threshold,101002,,I,20141001
101003,BT: ST_ALL - EDR Duration - Metric Threshold,101003,,I,20141001
101004,BT: ST_ALL - EDR Value - Metric Threshold,101004,,I,20141001
101005,BT: ST_VOICE - EDR Count (Daily) - Metric Threshold,101005,,I,20141001
101006,BT: ST_VOICE - EDR Count - Metric Threshold,101006,,I,20141001
101007,BT: ST_VOICE - EDR Duration (Daily) - Metric Threshold,101007,,I,20141001
101008,BT: ST_VOICE - EDR Duration - Metric Threshold,101008,,I,20141001
101009,BT: ST_VOICE_DOM - EDR Count (Daily) - Metric Threshold,101009,,I,20141001
101010,BT: ST_VOICE_DOM - EDR Count - Metric Threshold,101010,,I,20141001
101011,BT: ST_VOICE_DOM - EDR Duration (Daily) - Metric Threshold,101011,,I,20141001
101012,BT: ST_VOICE_DOM - EDR Duration - Metric Threshold,101012,,I,20141001
101013,BT: ST_VOICE_FO - EDR Count (Daily) - Metric Threshold,101013,,I,20141001
101014,BT: ST_VOICE_FO - EDR Count - Metric Threshold,101014,,I,20141001
101015,BT: ST_VOICE_FO - EDR Duration (Daily) - Metric Threshold,101015,,I,20141001
101016,BT: ST_VOICE_FO - EDR Duration - Metric Threshold,101016,,I,20141001
101017,BT: ST_VOICE_INTL - EDR Count (Daily) - Metric Threshold,101017,,I,20141001
101018,BT: ST_VOICE_INTL - EDR Count - Metric Threshold,101018,,I,20141001
101019,BT: ST_VOICE_INTL - EDR Duration (Daily) - Metric Threshold,101019,,I,20141001
101020,BT: ST_VOICE_INTL - EDR Duration - Metric Threshold,101020,,I,20141001
101021,C&W: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,101021,,I,20141001
101022,C&W: ST_ALL - EDR Count - Metric Threshold,101022,,I,20141001
101023,C&W: ST_ALL - EDR Duration - Metric Threshold,101023,,I,20141001
101024,C&W: ST_ALL - EDR Value - Metric Threshold,101024,,I,20141001
101025,C&W: ST_VOICE - EDR Count (Daily) - Metric Threshold,101025,,I,20141001
101026,C&W: ST_VOICE - EDR Count - Metric Threshold,101026,,I,20141001
101027,C&W: ST_VOICE - EDR Duration (Daily) - Metric Threshold,101027,,I,20141001
101028,C&W: ST_VOICE - EDR Duration - Metric Threshold,101028,,I,20141001
101029,C&W: ST_VOICE_FT - EDR Count (Daily) - Metric Threshold,101029,,I,20141001
101030,C&W: ST_VOICE_FT - EDR Count - Metric Threshold,101030,,I,20141001
101031,C&W: ST_VOICE_FT - EDR Duration (Daily) - Metric Threshold,101031,,I,20141001
101032,C&W: ST_VOICE_FT - EDR Duration - Metric Threshold,101032,,I,20141001
101033,Eircom: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,101033,,I,20141001
101034,Eircom: ST_ALL - EDR Count - Metric Threshold,101034,,I,20141001
101035,Eircom: ST_ALL - EDR Duration - Metric Threshold,101035,,I,20141001
101036,Eircom: ST_ALL - EDR Value - Metric Threshold,101036,,I,20141001
101037,Eircom: ST_VOICE - EDR Count (Daily) - Metric Threshold,101037,,I,20141001
101038,Eircom: ST_VOICE - EDR Count - Metric Threshold,101038,,I,20141001
101039,Eircom: ST_VOICE - EDR Duration (Daily) - Metric Threshold,101039,,I,20141001
101040,Eircom: ST_VOICE - EDR Duration - Metric Threshold,101040,,I,20141001
101041,Eircom: ST_VOICE_DOM - EDR Count (Daily) - Metric Threshold,101041,,I,20141001
101042,Eircom: ST_VOICE_DOM - EDR Count - Metric Threshold,101042,,I,20141001
101043,Eircom: ST_VOICE_DOM - EDR Duration (Daily) - Metric Threshold,101043,,I,20141001
101044,Eircom: ST_VOICE_DOM - EDR Duration - Metric Threshold,101044,,I,20141001
101045,Eircom: ST_VOICE_FO - EDR Count (Daily) - Metric Threshold,101045,,I,20141001
101046,Eircom: ST_VOICE_FO - EDR Count - Metric Threshold,101046,,I,20141001
101047,Eircom: ST_VOICE_FO - EDR Duration (Daily) - Metric Threshold,101047,,I,20141001
101048,Eircom: ST_VOICE_FO - EDR Duration - Metric Threshold,101048,,I,20141001
101049,Eircom: ST_VOICE_INTL - EDR Count (Daily) - Metric Threshold,101049,,I,20141001
101050,Eircom: ST_VOICE_INTL - EDR Count - Metric Threshold,101050,,I,20141001
101051,Eircom: ST_VOICE_INTL - EDR Duration (Daily) - Metric Threshold,101051,,I,20141001
101052,Eircom: ST_VOICE_INTL - EDR Duration - Metric Threshold,101052,,I,20141001
101053,MSS: ST_VOICE_PARTNERS - EDR Count (Daily) - Metric Threshold,101053,,I,20141001
101054,MSS: ST_VOICE_PARTNERS - EDR Count - Metric Threshold,101054,,I,20141001
101055,MSS: ST_VOICE_PARTNERS - EDR Duration (Daily) - Metric Threshold,101055,,I,20141001
101056,MSS: ST_VOICE_PARTNERS - EDR Duration - Metric Threshold,101056,,I,20141001
101057,SGSN: ST_DATA_PARTNERS - EDR Bytes (Daily) - Metric Threshold,101057,,I,20141001
101058,SGSN: ST_DATA_PARTNERS - EDR Bytes - Metric Threshold,101058,,I,20141001
101059,SGSN: ST_DATA_PARTNERS - EDR Count (Daily) - Metric Threshold,101059,,I,20141001
101060,SGSN: ST_DATA_PARTNERS - EDR Count - Metric Threshold,101060,,I,20141001
101061,SS Billed: ST_AGG_SUCCESS - EDR Count (Daily) - Metric Threshold,101061,,I,20141001
101062,SS Billed: ST_ALL - EDR Count - Metric Threshold,101062,,I,20141001
101063,SS Billed: ST_ALL - EDR Duration - Metric Threshold,101063,,I,20141001
101064,SS Billed: ST_ALL - EDR Value - Metric Threshold,101064,,I,20141001
101065,SS Billed: ST_SMS - EDR Count (Daily) - Metric Threshold,101065,,I,20141001
101066,SS Billed: ST_SMS - EDR Count - Metric Threshold,101066,,I,20141001
101067,SS Billed: ST_SMS - EDR Value (Daily) - Metric Threshold,101067,,I,20141001
101068,SS Billed: ST_SMS - EDR Value - Metric Threshold,101068,,I,20141001
101069,SS Billed: ST_VOICE - EDR Count (Daily) - Metric Threshold,101069,,I,20141001
101070,SS Billed: ST_VOICE - EDR Count - Metric Threshold,101070,,I,20141001
101071,SS Billed: ST_VOICE - EDR Duration (Daily) - Metric Threshold,101071,,I,20141001
101072,SS Billed: ST_VOICE - EDR Duration - Metric Threshold,101072,,I,20141001
101073,SS Billed: ST_VOICE - EDR Value (Daily) - Metric Threshold,101073,,I,20141001
101074,SS Billed: ST_VOICE - EDR Value - Metric Threshold,101074,,I,20141001
101075,SS Billed: ST_VOICE_ANCILIARY - EDR Count (Daily) - Metric Threshold,101075,,I,20141001
101076,SS Billed: ST_VOICE_ANCILIARY - EDR Count - Metric Threshold,101076,,I,20141001
101077,SS Billed: ST_VOICE_ANCILIARY - EDR Duration (Daily) - Metric Threshold,101077,,I,20141001
101078,SS Billed: ST_VOICE_ANCILIARY - EDR Duration - Metric Threshold,101078,,I,20141001
101079,SS Billed: ST_VOICE_ANCILIARY - EDR Value (Daily) - Metric Threshold,101079,,I,20141001
101080,SS Billed: ST_VOICE_ANCILIARY - EDR Value - Metric Threshold,101080,,I,20141001
101081,SS Billed: ST_VOICE_DOM - EDR Count (Daily) - Metric Threshold,101081,,I,20141001
101082,SS Billed: ST_VOICE_DOM - EDR Count - Metric Threshold,101082,,I,20141001
101083,SS Billed: ST_VOICE_DOM - EDR Duration (Daily) - Metric Threshold,101083,,I,20141001
101084,SS Billed: ST_VOICE_DOM - EDR Duration - Metric Threshold,101084,,I,20141001
101085,SS Billed: ST_VOICE_DOM - EDR Value (Daily) - Metric Threshold,101085,,I,20141001
101086,SS Billed: ST_VOICE_DOM - EDR Value - Metric Threshold,101086,,I,20141001
101087,SS Billed: ST_VOICE_DQ - EDR Count (Daily) - Metric Threshold,101087,,I,20141001
101088,SS Billed: ST_VOICE_DQ - EDR Count - Metric Threshold,101088,,I,20141001
101089,SS Billed: ST_VOICE_DQ - EDR Duration (Daily) - Metric Threshold,101089,,I,20141001
101090,SS Billed: ST_VOICE_DQ - EDR Duration - Metric Threshold,101090,,I,20141001
101091,SS Billed: ST_VOICE_DQ - EDR Value (Daily) - Metric Threshold,101091,,I,20141001
101092,SS Billed: ST_VOICE_DQ - EDR Value - Metric Threshold,101092,,I,20141001
101093,SS Billed: ST_VOICE_FO - EDR Count (Daily) - Metric Threshold,101093,,I,20141001
101094,SS Billed: ST_VOICE_FO - EDR Count - Metric Threshold,101094,,I,20141001
101095,SS Billed: ST_VOICE_FO - EDR Duration (Daily) - Metric Threshold,101095,,I,20141001
101096,SS Billed: ST_VOICE_FO - EDR Duration - Metric Threshold,101096,,I,20141001
