100006,100002,3002,3002,0.15,>,Y,35200,3001,
100007,100002,3002,3002,-0.15,<,Y,35200,3001,
100008,100003,3002,3002,0.2,>,Y,35200,3001,
100009,100003,3002,3002,-0.2,<,Y,35200,3001,
101100,100100,3002,3002,0.02,>,Y,35200,3001,
102100,100100,3002,3002,-0.02,<,Y,35200,3001,
101101,100101,3002,3002,0.02,>,Y,35200,3000,
102101,100101,3002,3002,-0.02,<,Y,35200,3000,
101102,100102,3002,3002,0.02,>,Y,35200,3000,
102102,100102,3002,3002,-0.02,<,Y,35200,3000,
101103,100103,3002,3002,0.02,>,Y,35200,3000,
102103,100103,3002,3002,-0.02,<,Y,35200,3000,
101104,100104,3002,3002,0.02,>,Y,35200,3000,
102104,100104,3002,3002,-0.02,<,Y,35200,3000,
101105,100105,3002,3002,0.02,>,Y,35200,3000,
102105,100105,3002,3002,-0.02,<,Y,35200,3000,
101106,100106,3002,3002,0.02,>,Y,35200,3000,
102106,100106,3002,3002,-0.02,<,Y,35200,3000,
101107,100107,3002,3002,0.02,>,Y,35200,3000,
102107,100107,3002,3002,-0.02,<,Y,35200,3000,
101108,100108,3002,3002,0.02,>,Y,35200,3000,
102108,100108,3002,3002,-0.02,<,Y,35200,3000,
101109,100109,3002,3002,0.02,>,Y,35200,3000,
102109,100109,3002,3002,-0.02,<,Y,35200,3000,
101110,100110,3002,3002,0.02,>,Y,35200,3000,
102110,100110,3002,3002,-0.02,<,Y,35200,3000,
101111,100111,3002,3002,0.02,>,Y,35200,3000,
102111,100111,3002,3002,-0.02,<,Y,35200,3000,
101112,100112,3002,3002,0.02,>,Y,35200,3000,
102112,100112,3002,3002,-0.02,<,Y,35200,3000,
101113,100113,3002,3002,0.02,>,Y,35200,3000,
102113,100113,3002,3002,-0.02,<,Y,35200,3000,
101114,100114,3002,3002,0.02,>,Y,35200,3000,
102114,100114,3002,3002,-0.02,<,Y,35200,3000,
101115,100115,3002,3002,0.02,>,Y,35200,3000,
