100001,1,100002,0,86399
100002,2,100002,0,86399
100003,3,100002,0,86399
100004,4,100002,0,86399
100005,5,100002,0,86399
100006,6,100003,0,86399
100007,7,100003,0,86399
101100,1,100100,0,86399
102100,2,100100,0,86399
103100,3,100100,0,86399
104100,4,100100,0,86399
105100,5,100100,0,86399
106100,6,100100,0,86399
107100,7,100100,0,86399
101101,1,100101,0,86399
102101,2,100101,0,86399
103101,3,100101,0,86399
104101,4,100101,0,86399
105101,5,100101,0,86399
106101,6,100101,0,86399
107101,7,100101,0,86399
101102,1,100102,0,86399
102102,2,100102,0,86399
103102,3,100102,0,86399
104102,4,100102,0,86399
105102,5,100102,0,86399
106102,6,100102,0,86399
107102,7,100102,0,86399
101103,1,100103,0,86399
102103,2,100103,0,86399
103103,3,100103,0,86399
104103,4,100103,0,86399
105103,5,100103,0,86399
106103,6,100103,0,86399
107103,7,100103,0,86399
101104,1,100104,0,86399
102104,2,100104,0,86399
103104,3,100104,0,86399
104104,4,100104,0,86399
105104,5,100104,0,86399
106104,6,100104,0,86399
107104,7,100104,0,86399
101105,1,100105,0,86399
102105,2,100105,0,86399
103105,3,100105,0,86399
104105,4,100105,0,86399
105105,5,100105,0,86399
106105,6,100105,0,86399
107105,7,100105,0,86399
101106,1,100106,0,86399
102106,2,100106,0,86399
103106,3,100106,0,86399
104106,4,100106,0,86399
105106,5,100106,0,86399
106106,6,100106,0,86399
107106,7,100106,0,86399
101107,1,100107,0,86399
102107,2,100107,0,86399
103107,3,100107,0,86399
104107,4,100107,0,86399
105107,5,100107,0,86399
106107,6,100107,0,86399
107107,7,100107,0,86399
101108,1,100108,0,86399
102108,2,100108,0,86399
103108,3,100108,0,86399
104108,4,100108,0,86399
105108,5,100108,0,86399
106108,6,100108,0,86399
107108,7,100108,0,86399
101109,1,100109,0,86399
102109,2,100109,0,86399
103109,3,100109,0,86399
104109,4,100109,0,86399
105109,5,100109,0,86399
106109,6,100109,0,86399
107109,7,100109,0,86399
101110,1,100110,0,86399
102110,2,100110,0,86399
103110,3,100110,0,86399
104110,4,100110,0,86399
105110,5,100110,0,86399
106110,6,100110,0,86399
107110,7,100110,0,86399
101111,1,100111,0,86399
102111,2,100111,0,86399
103111,3,100111,0,86399
104111,4,100111,0,86399
