100134,DWF Output Record: ST_ITC_VOICE_IN - EDR Duration - Metric Threshold,Percentage,DWF Output Record: ST_ITC_VOICE_IN - EDR Duration - Metric Threshold
100135,DWF Output Record: ST_ITC_MMS_OUT - EDR Bytes - Metric Threshold,Percentage,DWF Output Record: ST_ITC_MMS_OUT - EDR Bytes - Metric Threshold
100136,DWF Output Record: ST_ITC_MMS_OUT - EDR Count - Metric Threshold,Percentage,DWF Output Record: ST_ITC_MMS_OUT - EDR Count - Metric Threshold
100137,DWF Output Record: ST_ITC_MMS_IN - EDR Bytes - Metric Threshold,Percentage,DWF Output Record: ST_ITC_MMS_IN - EDR Bytes - Metric Threshold
100138,DWF Output Record: ST_ITC_MMS_IN - EDR Count - Metric Threshold,Percentage,DWF Output Record: ST_ITC_MMS_IN - EDR Count - Metric Threshold
100139,DWF Output Record: ST_ITC_SMS_OUT - EDR Count - Metric Threshold,Percentage,DWF Output Record: ST_ITC_SMS_OUT - EDR Count - Metric Threshold
100140,DWF Output Record: ST_ITC_SMS_OUT - EDR Value - Metric Threshold,Percentage,DWF Output Record: ST_ITC_SMS_OUT - EDR Value - Metric Threshold
100141,DWF Output Record: ST_ITC_VOICE_OUT - EDR Count - Metric Threshold,Percentage,DWF Output Record: ST_ITC_VOICE_OUT - EDR Count - Metric Threshold
100142,DWF Output Record: ST_ITC_VOICE_OUT - EDR Duration - Metric Threshold,Percentage,DWF Output Record: ST_ITC_VOICE_OUT - EDR Duration - Metric Threshold
100143,DWF Output Record: ST_ITC_VOICE_OUT - EDR Value - Metric Threshold,Percentage,DWF Output Record: ST_ITC_VOICE_OUT - EDR Value - Metric Threshold
100144,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Bytes (Absolute) - Metric Threshold,Absolute,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Bytes (Absolute) - Metric Threshold
100145,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Count (Absolute) - Metric Threshold,Absolute,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Count (Absolute) - Metric Threshold
100146,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Value (Absolute) - Metric Threshold,Absolute,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Value (Absolute) - Metric Threshold
100147,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Duration (Absolute) - Metric Threshold,Absolute,ICCS Unbilled: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Duration (Absolute) - Metric Threshold
100148,GSM: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Count (Absolute)  - Metric Threshold,Absolute,GSM: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Count (Absolute)  - Metric Threshold
100149,GSM: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Duration (Absolute)  - Metric Threshold,Absolute,GSM: ST_VOICE_POSTPAID_HOME_MO_FREE - EDR Duration (Absolute)  - Metric Threshold
100200,SMSC vs SMS Ict (count) - ST_ITC_SMS_OUT - EDR Count - Reconciliation Threshold,Percentage,SMSC vs SMS Ict (count) - ST_ITC_SMS_OUT - EDR Count - Reconciliation Threshold
100201,MSS vs MSS Ict (count) - ST_ITC_SMS_IN - EDR Count - Reconciliation Threshold,Percentage,MSS vs MSS Ict (count) - ST_ITC_SMS_IN - EDR Count - Reconciliation Threshold
100202,MSS vs MSS Ict (count) - ST_ITC_VOICE_OUT - EDR Count - Reconciliation Threshold,Percentage,MSS vs MSS Ict (count) - ST_ITC_VOICE_OUT - EDR Count - Reconciliation Threshold
100203,MSS vs MSS Ict (duration) - ST_ITC_VOICE_OUT - EDR Duration - Reconciliation Threshold,Percentage,MSS vs MSS Ict (duration) - ST_ITC_VOICE_OUT - EDR Duration - Reconciliation Threshold
100204,Raw MMS vs MMS Ict (count) - ST_ITC_MMS_OUT - EDR Count - Reconciliation Threshold,Percentage,Raw MMS vs MMS Ict (count) - ST_ITC_MMS_OUT - EDR Count - Reconciliation Threshold
100205,Raw MMS vs MMS Ict (bytes) - ST_ITC_MMS_OUT - EDR Bytes - Reconciliation Threshold,Percentage,Raw MMS vs MMS Ict (bytes) - ST_ITC_MMS_OUT - EDR Bytes - Reconciliation Threshold
100206,SMS Ict vs DWF Interconnect (count) - ST_ITC_SMS_OUT - EDR Count - Reconciliation Threshold,Percentage,SMS Ict vs DWF Interconnect (count) - ST_ITC_SMS_OUT - EDR Count - Reconciliation Threshold
100207,MSS Ict vs DWF Interconnect (count) - ST_ITC_VOICE_OUT - EDR Count - Reconciliation Threshold,Percentage,MSS Ict vs DWF Interconnect (count) - ST_ITC_VOICE_OUT - EDR Count - Reconciliation Threshold
100208,MSS Ict vs DWF Interconnect (duration) - ST_ITC_VOICE_OUT -  EDR Duration - Reconciliation Threshold,Percentage,MSS Ict vs DWF Interconnect (duration) - ST_ITC_VOICE_OUT -  EDR Duration - Reconciliation Threshold
100209,MMS Ict vs DWF Interconnect (count) - ST_ITC_MMS_OUT - EDR Count - Reconciliation Threshold,Percentage,MMS Ict vs DWF Interconnect (count) - ST_ITC_MMS_OUT - EDR Count - Reconciliation Threshold
100210,MMS Ict vs DWF Interconnect (bytes) - ST_ITC_MMS_OUT - EDR Bytes - Reconciliation Threshold,Percentage,MMS Ict vs DWF Interconnect (bytes) - ST_ITC_MMS_OUT - EDR Bytes - Reconciliation Threshold
100230,DWF Output Record: ST_ITC_VOICE_IN - EDR Value - Metric Threshold,Percentage,DWF Output Record: ST_ITC_VOICE_IN - EDR Value - Metric Threshold
100231,DWF Output Record: ST_ITC_SMS_IN - EDR Value - Metric Threshold,Percentage,DWF Output Record: ST_ITC_SMS_IN - EDR Value - Metric Threshold
100232,DWF Output Record: ST_ITC_SMS_IN - EDR Count - Metric Threshold,Percentage,DWF Output Record: ST_ITC_SMS_IN - EDR Count - Metric Threshold
100233,DWF Output Record: ST_ITC_MMS_IN - EDR Value - Metric Threshold,Percentage,DWF Output Record: ST_ITC_MMS_IN - EDR Value - Metric Threshold
100234,DWF Output Record: ST_ITC_MMS_OUT - EDR Value - Metric Threshold,Percentage,DWF Output Record: ST_ITC_MMS_OUT - EDR Value - Metric Threshold
100235,MSS: ST_ITC_NOROUTE - EDR Count (Absolute) - Metric Threshold,Absolute,MSS: ST_ITC_NOROUTE - EDR Count (Absolute) - Metric Threshold
