100100,100124
100100,100143
100100,100106
100100,100120
100101,100102
100101,100145
100102,100102
100102,100120
100102,100140
100102,100142
100103,100102
100103,100106
100103,100147
100104,100101
100104,100108
100105,100101
100105,100108
100105,100120
100105,100146
100106,100100
100106,100104
100106,100107
100106,100150
100106,100151
100106,100152
100107,100104
100107,100107
100107,100109
100107,100120
100107,100141
100107,100144
100107,100150
100107,100151
100107,100152
100108,100110
100108,100120
100109,100110
100109,100121
100109,100123
100110,100102
100110,100105
100111,100103
100111,100120
100111,100122
100100,100160
100101,100161
100102,100161
100103,100161
100105,100162
100104,100162
100104,100163
100105,100163
100103,100163
100102,100163
100100,100163
100101,100163
100108,100164
100105,100165
100104,100165
100108,100166
100112,100170
100112,100171
100112,100172
100112,100173
100112,100174
100112,100175
100112,100176
100112,100177
100112,100178
100107,100180
100107,100181
100107,100182
