100035,GPRS ICCS vs ICCS Unbilled (bytes) - ST_DATA_GPRS_POSTPAID - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100035,100035,,30,0,R,450,175,,
100036,WAP ICCS vs ICCS Unbilled (bytes) - ST_DATA_WAP_POSTPAID - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100036,100036,,30,0,R,450,175,,
100037,Tapin vs ICCS Unbilled (count) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100037,100037,,14,0,R,450,175,,
100038,Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100038,100038,,14,0,R,450,175,,
100040,Tapin vs ICCS Unbilled (count) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100040,100040,,14,0,R,450,175,,
100041,Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100041,100041,,14,0,R,450,175,,
100043,Tapin vs ICCS Unbilled (count) - ST_SMS_OTHER_OUTBOUND_ROAMERS_MO - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100043,100043,,14,0,R,450,175,,
100046,Tapin vs ICCS Unbilled (count) - ST_SMS_OTHER_OUTBOUND_ROAMERS_MT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100046,100046,,14,0,R,450,175,,
100048,MSS vs Tapout (count) - ST_VOICE_INBOUND_ROAMERS_MO - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100048,100048,,14,0,R,450,175,,
100049,MSS vs Tapout (count) - ST_VOICE_INBOUND_ROAMERS_MT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100049,100049,,14,0,R,450,175,,
100050,ER MIS vs ER ICCS (count) - ST_CONTENT_POSTPAID - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100050,100050,,14,0,R,450,175,,
100051,ER MIS vs ER ICCS (value) - ST_CONTENT_POSTPAID - EDR Value,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100051,100051,,14,0,R,450,175,,
100052,ER ICCS vs ICCS Unbilled (count) - ST_CONTENT_POSTPAID - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100052,100052,,14,0,R,450,175,,
100053,ER ICCS vs ICCS Unbilled (value) - ST_CONTENT_POSTPAID - EDR Value,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100053,100053,,14,0,R,450,175,,
100054,MSS vs GSM (count) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100054,100054,,14,0,R,450,175,,
100055,MSS vs GSM (duration) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100055,100055,,14,0,R,450,175,,
100056,GSM vs ICCS Unbilled (count) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100056,100056,,14,0,R,450,175,,
100057,GSM vs ICCS Unbilled (duration) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100057,100057,,14,0,R,450,175,,
100058,GSM vs ICCS Unbilled (count) - ST_ONXP_VOICE_POSTPAID_HOME_CALL_FWD - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100058,100058,,14,0,R,450,175,,
100059,GSM vs ICCS Unbilled (duration) - ST_ONXP_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100059,100059,,14,0,R,450,175,,
100060,EMM data vs SGSN (bytes) - ST_DATA_2G - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100060,100060,,14,0,R,450,175,,
100061,EMM data vs SGSN (bytes) - ST_DATA_3G - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100061,100061,,14,0,R,450,175,,
100062,EMM data vs SGW (bytes) - ST_DATA_4G - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100062,100062,,14,0,R,450,175,,
100069,EMM data vs PGW (bytes) - ST_DATA_GPRS - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100069,100069,,14,0,R,450,175,,
100070,EMM data vs PGW (bytes) - ST_DATA_WAP - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100070,100070,,14,0,R,450,175,,
100101,SMSC vs SMS Ict (count) - ST_ITC_SMS_OUT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100100,100100,,14,0,R,450,175,,
100102,MSS vs MSS Ict (count) - ST_ITC_SMS_IN - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100101,100101,,14,0,R,450,175,,
100103,MSS vs MSS Ict (count) - ST_ITC_VOICE_OUT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100102,100102,,14,0,R,450,175,,
100104,MSS vs MSS Ict (duration) - ST_ITC_VOICE_OUT - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100103,100103,,14,0,R,450,175,,
100105,Raw MMS vs MMS Ict (count) - ST_ITC_MMS_OUT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100104,100104,,14,0,R,450,175,,
100106,Raw MMS vs MMS Ict (bytes) - ST_ITC_MMS_OUT - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100105,100105,,14,0,R,450,175,,
100107,SMS Ict vs DWF Interconnect (count) - ST_ITC_SMS_OUT  - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100106,100106,,14,0,R,450,175,,
100108,MSS Ict vs DWF Interconnect (count) - ST_ITC_VOICE_OUT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100107,100107,,14,0,R,450,175,,
100109,MSS Ict vs DWF Interconnect (duration) - ST_ITC_VOICE_OUT -  EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100108,100108,,14,0,R,450,175,,
100110,MMS Ict vs DWF Interconnect (count) - ST_ITC_MMS_OUT - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100109,100109,,14,0,R,450,175,,
100111,MMS Ict vs DWF Interconnect (bytes) - ST_ITC_MMS_OUT - EDR Bytes,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100110,100110,,14,0,R,450,175,,
100112,MSS vs MSS Ict (count) - ST_ITC_VOICE_IN - EDR Count,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100111,100111,,14,0,R,450,175,,
100113,MSS vs MSS Ict (duration) - ST_ITC_VOICE_IN - EDR Duration,/um/um/mrecChartSetup.do?mrecType=TIMEmrecType=TIMEdisplayType=absolute&mrecDefinitionId_time=100112,100112,,14,0,R,450,175,,
