100073,ST_VOICE_POSTPAID_HOME - EDR Count,ST_VOICE_POSTPAID_HOME - EDR Count, 7, 100000, 100000
100074,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Count,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Count, 7, 100000, 100000
100075,ST_VOICE_POSTPAID_HOME_MO - EDR Count,ST_VOICE_POSTPAID_HOME_MO - EDR Count, 7, 100000, 100000
100076,ST_VOICE_PREPAID - EDR Count,ST_VOICE_PREPAID - EDR Count, 7, 100000, 100000
100077,ST_VOICE_PREPAID_HOME - EDR Count,ST_VOICE_PREPAID_HOME - EDR Count, 7, 100000, 100000
100078,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Count,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Count, 7, 100000, 100000
100079,ST_VOICE_PREPAID_HOME_MO - EDR Count,ST_VOICE_PREPAID_HOME_MO - EDR Count, 7, 100000, 100000
100081,ST_SMS - EDR Duration,ST_SMS - EDR Duration, 7, 100000, 100000
100082,ST_SMS_HOME - EDR Duration,ST_SMS_HOME - EDR Duration, 7, 100000, 100000
100083,ST_SMS_HOME_MO - EDR Duration,ST_SMS_HOME_MO - EDR Duration, 7, 100000, 100000
100084,ST_SMS_HOME_MT - EDR Duration,ST_SMS_HOME_MT - EDR Duration, 7, 100000, 100000
100087,ST_SMS_PREPAID - EDR Duration,ST_SMS_PREPAID - EDR Duration, 7, 100000, 100000
100092,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MO - EDR Duration,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MO - EDR Duration, 7, 100000, 100000
100093,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT - EDR Duration,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT - EDR Duration, 7, 100000, 100000
100094,ST_VOICE_POSTPAID - EDR Duration,ST_VOICE_POSTPAID - EDR Duration, 7, 100000, 100000
100095,ST_VOICE_POSTPAID_HOME - EDR Duration,ST_VOICE_POSTPAID_HOME - EDR Duration, 7, 100000, 100000
100096,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration, 7, 100000, 100000
100097,ST_VOICE_POSTPAID_HOME_MO - EDR Duration,ST_VOICE_POSTPAID_HOME_MO - EDR Duration, 7, 100000, 100000
100098,ST_VOICE_PREPAID - EDR Duration,ST_VOICE_PREPAID - EDR Duration, 7, 100000, 100000
100099,ST_VOICE_PREPAID_HOME - EDR Duration,ST_VOICE_PREPAID_HOME - EDR Duration, 7, 100000, 100000
100100,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Duration,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Duration, 7, 100000, 100000
100101,ST_VOICE_PREPAID_HOME_MO - EDR Duration,ST_VOICE_PREPAID_HOME_MO - EDR Duration, 7, 100000, 100000
100102,ST_ALL - EDR Value,ST_ALL - EDR Value, 7, 100000, 100000
100103,ST_SMS - EDR Value,ST_SMS - EDR Value, 7, 100000, 100000
100104,ST_SMS_HOME - EDR Value,ST_SMS_HOME - EDR Value, 7, 100000, 100000
100105,ST_SMS_HOME_MO - EDR Value,ST_SMS_HOME_MO - EDR Value, 7, 100000, 100000
100106,ST_SMS_HOME_MT - EDR Value,ST_SMS_HOME_MT - EDR Value, 7, 100000, 100000
100107,ST_SMS_OTHER_INBOUND_ROAMERS_MO - EDR Value,ST_SMS_OTHER_INBOUND_ROAMERS_MO - EDR Value, 7, 100000, 100000
100108,ST_SMS_OTHER_INBOUND_ROAMERS_MT - EDR Value,ST_SMS_OTHER_INBOUND_ROAMERS_MT - EDR Value, 7, 100000, 100000
100109,ST_SMS_PREPAID - EDR Value,ST_SMS_PREPAID - EDR Value, 7, 100000, 100000
100110,ST_UNIDENT - EDR Value,ST_UNIDENT - EDR Value, 7, 100000, 100000
100111,ST_VOICE - EDR Value,ST_VOICE - EDR Value, 7, 100000, 100000
100112,ST_VOICE_INBOUND_ROAMERS_MO - EDR Value,ST_VOICE_INBOUND_ROAMERS_MO - EDR Value, 7, 100000, 100000
100113,ST_VOICE_INBOUND_ROAMERS_MT - EDR Value,ST_VOICE_INBOUND_ROAMERS_MT - EDR Value, 7, 100000, 100000
100114,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MO - EDR Value,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MO - EDR Value, 7, 100000, 100000
100115,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT - EDR Value,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT - EDR Value, 7, 100000, 100000
100116,ST_VOICE_POSTPAID - EDR Value,ST_VOICE_POSTPAID - EDR Value, 7, 100000, 100000
