100000,100001,100000
100001,100001,100001
100002,100001,100002
100003,100001,100003
100004,100001,100004
100005,100001,100005
100006,100001,100006
100011,100001,100011
100012,100001,100012
100013,100001,100013
100014,100001,100014
100015,100001,100015
100016,100001,100016
100017,100001,100017
100019,100001,100019
100021,100001,100021
100022,100001,100022
100025,100001,100025
100027,100001,100027
100029,100001,100029
100030,100001,100030
100031,100001,100031
100032,100001,100032
100033,100001,100033
100034,100001,100034
100035,100001,100035
100036,100001,100036
100037,100001,100037
100038,100001,100038
100039,100001,100039
100042,100001,100042
100044,100001,100044
100047,100001,100047
100048,100001,100048
100051,100001,100051
100052,100001,100052
100053,100001,100053
100056,100001,100056
100057,100001,100057
100065,100001,100065
100070,100001,100070
100071,100001,100071
100072,100001,100072
100073,100001,100073
100074,100001,100074
100075,100001,100075
100076,100001,100076
100077,100001,100077
100078,100001,100078
100079,100001,100079
100081,100001,100081
100082,100001,100082
100083,100001,100083
100084,100001,100084
100087,100001,100087
100092,100001,100092
100093,100001,100093
100094,100001,100094
100095,100001,100095
100096,100001,100096
100097,100001,100097
100098,100001,100098
100099,100001,100099
100100,100001,100100
100101,100001,100101
100102,100001,100102
100103,100001,100103
100104,100001,100104
100105,100001,100105
100106,100001,100106
100107,100001,100107
100108,100001,100108
100109,100001,100109
100110,100001,100110
100111,100001,100111
100112,100001,100112
100113,100001,100113
100114,100001,100114
100115,100001,100115
100116,100001,100116
100117,100001,100117
100118,100001,100118
100119,100001,100119
100120,100001,100120
100121,100001,100121
100122,100001,100122
100123,100001,100123
100179,100001,100179
100181,100001,100181
100182,100001,100182
100183,100001,100183
100199,100001,100199
100202,100001,100202
100206,100001,100206
100210,100001,100210
100212,100001,100212
100213,100001,100213
100215,100001,100215
100216,100001,100216
100222,100001,100222
100223,100001,100223
100240,100001,100240
100241,100001,100241
100242,100001,100242
100243,100001,100243
100244,100001,100244
100245,100001,100245
100246,100001,100246
100247,100001,100247
100248,100001,100248
100251,100001,100251
100252,100001,100252
100253,100001,100253
100254,100001,100254
100257,100001,100257
100258,100001,100258
100259,100001,100259
100260,100001,100260
100264,100001,100264
100271,100001,100271
100272,100001,100272
100274,100001,100274
100323,100001,100323
100325,100001,100325
100327,100001,100327
100328,100001,100328
100333,100001,100333
100334,100001,100334
100335,100001,100335
100336,100001,100336
100337,100001,100337
100339,100001,100339
100340,100001,100340
100341,100001,100341
100342,100001,100342
100352,100001,100352
100357,100001,100357
100358,100001,100358
100359,100001,100359
100360,100001,100360
100361,100001,100361
100362,100001,100362
100363,100001,100363
100364,100001,100364
100365,100001,100365
100366,100001,100366
100367,100001,100367
100368,100001,100368
100369,100001,100369
100370,100001,100370
100371,100001,100371
100373,100001,100373
100374,100001,100374
100375,100001,100375
100376,100001,100376
100377,100001,100377
100378,100001,100378
100379,100001,100379
100382,100001,100382
100383,100001,100383
100384,100001,100384
100385,100001,100385
100386,100001,100386
100391,100001,100391
100392,100001,100392
100393,100001,100393
100394,100001,100394
100395,100001,100395
100396,100001,100396
100397,100001,100397
100398,100001,100398
100399,100001,100399
100400,100001,100400
100403,100001,100403
100404,100001,100404
100417,100001,100417
100418,100001,100418
100419,100001,100419
100422,100001,100422
100423,100001,100423
100424,100001,100424
100425,100001,100425
100426,100001,100426
100427,100001,100427
100428,100001,100428
100429,100001,100429
100430,100001,100430
100431,100001,100431
100432,100001,100432
100433,100001,100433
100434,100001,100434
100435,100001,100435
100436,100001,100436
100437,100001,100437
100438,100001,100438
100439,100001,100439
100440,100001,100440
100441,100001,100441
100442,100001,100442
100443,100001,100443
100444,100001,100444
100445,100001,100445
100446,100001,100446
100447,100001,100447
100448,100001,100448
100449,100001,100449
100450,100001,100450
100451,100001,100451
100452,100001,100452
100453,100001,100453
100454,100001,100454
100455,100001,100455
100456,100001,100456
100457,100001,100457
100458,100001,100458
100459,100001,100459
100460,100001,100460
100461,100001,100461
100462,100001,100462
100463,100001,100463
100464,100001,100464
100465,100001,100465
100466,100001,100466
100467,100001,100467
100468,100001,100468
100469,100001,100469
100470,100001,100470
100471,100001,100471
100472,100001,100472
100473,100001,100473
100474,100001,100474
100475,100001,100475
100476,100001,100476
