100038,100018,T,100001,Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Duration,Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Duration
100040,100018,T,100001,Tapin vs ICCS Unbilled (count) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Count,Tapin vs ICCS Unbilled (count) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Count
100041,100018,T,100001,Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Duration,Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Duration
100043,100018,T,100001,Tapin vs ICCS Unbilled (count) - ST_SMS_OTHER_OUTBOUND_ROAMERS_MO - EDR Count,Tapin vs ICCS Unbilled (count) - ST_SMS_OTHER_OUTBOUND_ROAMERS_MO - EDR Count
100046,100018,T,100001,Tapin vs ICCS Unbilled (count) - ST_SMS_OTHER_OUTBOUND_ROAMERS_MT - EDR Count,Tapin vs ICCS Unbilled (count) - ST_SMS_OTHER_OUTBOUND_ROAMERS_MT - EDR Count
100048,100018,T,100001,MSS vs Tapout (count) - ST_VOICE_INBOUND_ROAMERS_MO - EDR Count,MSS vs Tapout (count) - ST_VOICE_INBOUND_ROAMERS_MO - EDR Count
100049,100018,T,100001,MSS vs Tapout (count) - ST_VOICE_INBOUND_ROAMERS_MT - EDR Count,MSS vs Tapout (count) - ST_VOICE_INBOUND_ROAMERS_MT - EDR Count
100050,100019,T,100001,ER MIS vs ER ICCS (count) - ST_CONTENT_POSTPAID - EDR Count,ER MIS vs ER ICCS (count) - ST_CONTENT_POSTPAID - EDR Count
100051,100019,T,100001,ER MIS vs ER ICCS (value) - ST_CONTENT_POSTPAID - EDR Value,ER MIS vs ER ICCS (value) - ST_CONTENT_POSTPAID - EDR Value
100052,100019,T,100001,ER ICCS vs ICCS Unbilled (count) - ST_CONTENT_POSTPAID - EDR Count,ER ICCS vs ICCS Unbilled (count) - ST_CONTENT_POSTPAID - EDR Count
100053,100019,T,100001,ER ICCS vs ICCS Unbilled (value) - ST_CONTENT_POSTPAID - EDR Value,ER ICCS vs ICCS Unbilled (value) - ST_CONTENT_POSTPAID - EDR Value
100054,100013,T,100001,MSS vs GSM (count) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Count,MSS vs GSM (count) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Count
100055,100013,T,100001,MSS vs GSM (duration) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Duration,MSS vs GSM (duration) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Duration
100056,100013,T,100001,GSM vs ICCS Unbilled (count) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Count,GSM vs ICCS Unbilled (count) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Count
100057,100013,T,100001,GSM vs ICCS Unbilled (duration) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Duration,GSM vs ICCS Unbilled (duration) - ST_ONXP_VOICE_POSTPAID_HOME_MO - EDR Duration
100058,100013,T,100001,GSM vs ICCS Unbilled (count) - ST_ONXP_VOICE_POSTPAID_HOME_CALL_FWD - EDR Count,GSM vs ICCS Unbilled (count) - ST_ONXP_VOICE_POSTPAID_HOME_CALL_FWD - EDR Count
100059,100013,T,100001,GSM vs ICCS Unbilled (duration) - ST_ONXP_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration,GSM vs ICCS Unbilled (duration) - ST_ONXP_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration
100060,100013,T,100001,PGW vs SGSN (bytes) - ST_DATA_2G - EDR Bytes,PGW vs SGSN (bytes) - ST_DATA_2G - EDR Bytes
100061,100013,T,100001,PGW vs SGSN (bytes) - ST_DATA_3G - EDR Bytes,PGW vs SGSN (bytes) - ST_DATA_3G - EDR Bytes
100062,100013,T,100001,PGW vs SGW (bytes) - ST_DATA_4G - EDR Bytes,PGW vs SGW (bytes) - ST_DATA_4G - EDR Bytes
100063,100013,T,100001,PGW vs SGW (bytes) - ST_DATA_WAP - EDR Bytes,PGW vs SGW (bytes) - ST_DATA_WAP - EDR Bytes
100064,100013,T,100001,PGW vs SGSN (bytes) - ST_DATA_WAP - EDR Bytes,PGW vs SGSN (bytes) - ST_DATA_WAP - EDR Bytes
100065,100013,T,100001,SGSN vs SGW (bytes) - ST_DATA_WAP - EDR Bytes,SGSN vs SGW (bytes) - ST_DATA_WAP - EDR Bytes
100066,100013,T,100001,PGW vs SGW (bytes) - ST_DATA_GPRS - EDR Bytes,PGW vs SGW (bytes) - ST_DATA_GPRS - EDR Bytes
100067,100013,T,100001,PGW vs SGSN (bytes) - ST_DATA_GPRS - EDR Bytes,PGW vs SGSN (bytes) - ST_DATA_GPRS - EDR Bytes
100068,100013,T,100001,SGSN vs SGW (bytes) - ST_DATA_GPRS - EDR Bytes,SGSN vs SGW (bytes) - ST_DATA_GPRS - EDR Bytes
100069,100013,T,100001,PGW vs EMM Data (bytes) - ST_DATA_GPRS - EDR Bytes,PGW vs EMM Data (bytes) - ST_DATA_GPRS - EDR Bytes
100070,100013,T,100001,PGW vs EMM Data (bytes) - ST_DATA_WAP - EDR Bytes,PGW vs EMM Data (bytes) - ST_DATA_WAP - EDR Bytes
100071,100013,T,100001,PGW vs EMM Data (bytes) - ST_DATA_2G - EDR Bytes,PGW vs EMM Data (bytes) - ST_DATA_2G - EDR Bytes
100072,100013,T,100001,PGW vs EMM Data (bytes) - ST_DATA_3G - EDR Bytes,PGW vs EMM Data (bytes) - ST_DATA_3G - EDR Bytes
100073,100013,T,100001,PGW vs EMM Data (bytes) - ST_DATA_4G - EDR Bytes,PGW vs EMM Data (bytes) - ST_DATA_4G - EDR Bytes
