100087,100087,,ST_SMS_PREPAID - EDR Duration - Version 1,20101125000000,20201231235959,A
100092,100092,,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MO - EDR Duration - Version 1,20101125000000,20201231235959,A
100093,100093,,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT - EDR Duration - Version 1,20101125000000,20201231235959,A
100094,100094,,ST_VOICE_POSTPAID - EDR Duration - Version 1,20101125000000,20201231235959,A
100095,100095,,ST_VOICE_POSTPAID_HOME - EDR Duration - Version 1,20101125000000,20201231235959,A
100096,100096,,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration - Version 1,20101125000000,20201231235959,A
100097,100097,,ST_VOICE_POSTPAID_HOME_MO - EDR Duration - Version 1,20101125000000,20201231235959,A
100098,100098,,ST_VOICE_PREPAID - EDR Duration - Version 1,20101125000000,20201231235959,A
100099,100099,,ST_VOICE_PREPAID_HOME - EDR Duration - Version 1,20101125000000,20201231235959,A
100100,100100,,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Duration - Version 1,20101125000000,20201231235959,A
100101,100101,,ST_VOICE_PREPAID_HOME_MO - EDR Duration - Version 1,20101125000000,20201231235959,A
100102,100102,,ST_ALL - EDR Value - Version 1,20101125000000,20201231235959,A
100103,100103,,ST_SMS - EDR Value - Version 1,20101125000000,20201231235959,A
100104,100104,,ST_SMS_HOME - EDR Value - Version 1,20101125000000,20201231235959,A
100105,100105,,ST_SMS_HOME_MO - EDR Value - Version 1,20101125000000,20201231235959,A
100106,100106,,ST_SMS_HOME_MT - EDR Value - Version 1,20101125000000,20201231235959,A
100107,100107,,ST_SMS_OTHER_INBOUND_ROAMERS_MO - EDR Value - Version 1,20101125000000,20201231235959,A
100108,100108,,ST_SMS_OTHER_INBOUND_ROAMERS_MT - EDR Value - Version 1,20101125000000,20201231235959,A
100109,100109,,ST_SMS_PREPAID - EDR Value - Version 1,20101125000000,20201231235959,A
100110,100110,,ST_UNIDENT - EDR Value - Version 1,20101125000000,20201231235959,A
100111,100111,,ST_VOICE - EDR Value - Version 1,20101125000000,20201231235959,A
100112,100112,,ST_VOICE_INBOUND_ROAMERS_MO - EDR Value - Version 1,20101125000000,20201231235959,A
