100032,NGME: ST_DATA_WAP - EDR Bytes Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100274,100104,,,,,,Y,Y,Y,Y,Y,450,175,,
100034,ICCS Unbilled: ST_SMS_OTHER_OUTBOUND_ROAMERS_MO - EDR Count Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100004,100120,,,,,,Y,Y,Y,Y,Y,450,175,,
100035,Tapout: ST_ALL - EDR Count Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100000,100105,,,,,,Y,Y,Y,Y,Y,450,175,,
100036,Tapin: ST_ALL - EDR Count Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100000,100110,,,,,,Y,Y,Y,Y,Y,450,175,,
100037,MSS: ST_SMS_OTHER_INBOUND_ROAMERS_MT - EDR Count Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100027,100102,,,,,,Y,Y,Y,Y,Y,450,175,,
100038,NGIN raw: ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Duration Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100056,100123,,,,,,Y,Y,Y,Y,Y,450,175,,
100039,EMM NGIN: ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT - EDR Duration Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100093,100121,,,,,,Y,Y,Y,Y,Y,450,175,,
100041,ICCS Unbilled: ST_CONTENT_POSTPAID - EDR Value Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100202,100120,,,,,,Y,Y,Y,Y,Y,450,175,,
100042,ER ICCS: ST_CONTENT_POSTPAID - EDR Value Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100202,100122,,,,,,Y,Y,Y,Y,Y,450,175,,
100043,ER MIS: ST_CONTENT_POSTPAID - EDR Value Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100202,100103,,,,,,Y,Y,Y,Y,Y,450,175,,
100044,ER MIS: ST_CONTENT_PREPAID - EDR Value Metric Chart,/vfi-um/vfi-um/chartMetricSwfDisplay.do?rebuildFilters=true,14,0,100210,100103,,,,,,Y,Y,Y,Y,Y,450,175,,
