100077,ST_DATA_3G,Data 3G
100078,ST_DATA_4G,Data 4G
100079,ST_DATA_2G_PREPAID,Data 2G Prepaid
100080,ST_DATA_2G_POSTPAID,Data 2G Postpaid
100081,ST_DATA_3G_PREPAID,Data 3G Prepaid
100082,ST_DATA_3G_POSTPAID,Data 3G Postpaid
100083,ST_DATA_4G_PREPAID,Data 4G Prepaid
100084,ST_DATA_4G_POSTPAID,Data 4G Postpaid
100090,ST_ITC_SMS_OUT_O2,Interconnect SMS Outgoing O2
100091,ST_ITC_SMS_OUT_METEOR,Interconnect SMS Outgoing Meteor
100092,ST_ITC_SMS_OUT_HUTCHINSON,Interconnect SMS Outgoing Hutschinson
100093,ST_ITC_SMS_OUT_TESCO,Interconnect SMS Outgoing Tesco
100094,ST_ITC_SMS_OUT_POSTFONE,Interconnect SMS Outgoing Postfone
100095,ST_ITC_SMS_OUT_JUSTMOBILE,Interconnect SMS Outgoing Just Mobile
100096,ST_ITC_SMS_OUT_LYCA,Interconnect SMS Outgoing Lyca
100097,ST_ITC_SMS_OUT_OTHER_DEST,Interconnect SMS Outgoing Other
100098,ST_ITC_SMS,Interconnect SMS
100099,ST_ITC_VOICE,Interconnect Voice
100100,ST_ITC_MMS,Interconnect MMS
100101,ST_ITC_MMS_OUT,Interconnect MMS Outgoing
100102,ST_ITC_MMS_IN,Interconnect MMS Incoming
100103,ST_ITC_VOICE_OUT,Interconnect Voice Outgoing
100104,ST_ITC_VOICE_IN,Interconnect Voice Incoming
100105,ST_ITC_SMS_OUT,Interconnect SMS Outgoing
100106,ST_ITC_SMS_IN,Interconnect SMS Incoming
100107,ST_ITC_NOROUTE,Interconnect No Interconnect Route
100110,ST_VOICE_POSTPAID_HOME_MO_FREE,Voice Postpaid Home Mobile Originated Free
100120,ST_DATA_2G_DOMESTIC,Data 2G Domestic
100121,ST_DATA_3G_DOMESTIC,Data 3G Domestic
100122,ST_DATA_4G_DOMESTIC,Data 4G Domestic
100123,ST_DATA_4G_INBOUND_ROAMERS,Data 4G Inbound Roamers
