100175,100061,timeSlot,7,,,INTEGER EXTERNAL,N
100176,100061,serviceType,8,,,,N
100179,100061,eventCount,11,,,INTEGER EXTERNAL,N
100180,100061,sumDuration,12,,,INTEGER EXTERNAL,N
100181,100061,sumBytes,13,,,INTEGER EXTERNAL,N
100427,100061,sumValue,14,,,INTEGER EXTERNAL,N
100182,100062,currentDir,1,,,,N
100183,100062,edrFileName,2,,,,N
100184,100062,neId,3,,,,N
100185,100062,umIdentifier,4,,,,N
100186,100062,usageType,5,,,,N
100188,100062,timeSlot,7,,,INTEGER EXTERNAL,N
100189,100062,serviceType,8,,,,N
100192,100062,eventCount,11,,,INTEGER EXTERNAL,N
100193,100062,sumDuration,12,,,INTEGER EXTERNAL,N
100194,100062,sumBytes,13,,,INTEGER EXTERNAL,N
100428,100062,sumValue,14,,,INTEGER EXTERNAL,N
100195,100063,currentDir,1,,,,N
100196,100063,edrFileName,2,,,,N
100197,100063,neId,3,,,,N
100198,100063,umIdentifier,4,,,,N
100199,100063,usageType,5,,,,N
100201,100063,timeSlot,7,,,INTEGER EXTERNAL,N
100202,100063,serviceType,8,,,,N
100205,100063,eventCount,11,,,INTEGER EXTERNAL,N
100206,100063,sumDuration,12,,,INTEGER EXTERNAL,N
100207,100063,sumBytes,13,,,INTEGER EXTERNAL,N
100429,100063,sumValue,14,,,INTEGER EXTERNAL,N
100208,100064,currentDir,1,,,,N
100209,100064,edrFileName,2,,,,N
100210,100064,neId,3,,,,N
100211,100064,umIdentifier,4,,,,N
100212,100064,usageType,5,,,,N
100214,100064,timeSlot,7,,,INTEGER EXTERNAL,N
100215,100064,serviceType,8,,,,N
100218,100064,eventCount,11,,,INTEGER EXTERNAL,N
100219,100064,sumDuration,12,,,INTEGER EXTERNAL,N
100220,100064,sumBytes,13,,,INTEGER EXTERNAL,N
100430,100064,sumValue,14,,,INTEGER EXTERNAL,N
100221,100065,currentDir,1,,,,N
100222,100065,edrFileName,2,,,,N
100223,100065,neId,3,,,,N
100224,100065,umIdentifier,4,,,,N
100225,100065,usageType,5,,,,N
100227,100065,timeSlot,7,,,INTEGER EXTERNAL,N
100228,100065,serviceType,8,,,,N
100231,100065,eventCount,11,,,INTEGER EXTERNAL,N
100232,100065,sumDuration,12,,,INTEGER EXTERNAL,N
100233,100065,sumBytes,13,,,INTEGER EXTERNAL,N
100431,100065,sumValue,14,,,INTEGER EXTERNAL,N
100234,100066,currentDir,1,,,,N
100235,100066,edrFileName,2,,,,N
100236,100066,neId,3,,,,N
100237,100066,umIdentifier,4,,,,N
100238,100066,usageType,5,,,,N
100240,100066,timeSlot,7,,,INTEGER EXTERNAL,N
100241,100066,serviceType,8,,,,N
100244,100066,eventCount,11,,,INTEGER EXTERNAL,N
100245,100066,sumDuration,12,,,INTEGER EXTERNAL,N
100246,100066,sumBytes,13,,,INTEGER EXTERNAL,N
100432,100066,sumValue,14,,,INTEGER EXTERNAL,N
100247,100067,currentDir,1,,,,N
100248,100067,edrFileName,2,,,,N
100249,100067,neId,3,,,,N
100250,100067,umIdentifier,4,,,,N
100251,100067,usageType,5,,,,N
100253,100067,timeSlot,7,,,INTEGER EXTERNAL,N
100254,100067,serviceType,8,,,,N
100257,100067,eventCount,11,,,INTEGER EXTERNAL,N
100258,100067,sumDuration,12,,,INTEGER EXTERNAL,N
100259,100067,sumBytes,13,,,INTEGER EXTERNAL,N
100433,100067,sumValue,14,,,INTEGER EXTERNAL,N
100260,100068,currentDir,1,,,,N
100261,100068,edrFileName,2,,,,N
100262,100068,neId,3,,,,N
100263,100068,umIdentifier,4,,,,N
100264,100068,usageType,5,,,,N
100266,100068,timeSlot,7,,,INTEGER EXTERNAL,N
100267,100068,serviceType,8,,,,N
100270,100068,eventCount,11,,,INTEGER EXTERNAL,N
100271,100068,sumDuration,12,,,INTEGER EXTERNAL,N
100272,100068,sumBytes,13,,,INTEGER EXTERNAL,N
100434,100068,sumValue,14,,,INTEGER EXTERNAL,N
100273,100069,currentDir,1,,,,N
100274,100069,edrFileName,2,,,,N
100275,100069,neId,3,,,,N
100276,100069,umIdentifier,4,,,,N
100277,100069,usageType,5,,,,N
100279,100069,timeSlot,7,,,INTEGER EXTERNAL,N
100280,100069,serviceType,8,,,,N
100283,100069,eventCount,11,,,INTEGER EXTERNAL,N
100284,100069,sumDuration,12,,,INTEGER EXTERNAL,N
100285,100069,sumBytes,13,,,INTEGER EXTERNAL,N
100435,100069,sumValue,14,,,INTEGER EXTERNAL,N
100286,100070,currentDir,1,,,,N
100287,100070,edrFileName,2,,,,N
100288,100070,neId,3,,,,N
100289,100070,umIdentifier,4,,,,N
100290,100070,usageType,5,,,,N
100292,100070,timeSlot,7,,,INTEGER EXTERNAL,N
100293,100070,serviceType,8,,,,N
100296,100070,eventCount,11,,,INTEGER EXTERNAL,N
100297,100070,sumDuration,12,,,INTEGER EXTERNAL,N
100298,100070,sumBytes,13,,,INTEGER EXTERNAL,N
100436,100070,sumValue,14,,,INTEGER EXTERNAL,N
100299,100071,currentDir,1,,,,N
100300,100071,edrFileName,2,,,,N
100301,100071,neId,3,,,,N
100302,100071,umIdentifier,4,,,,N
100303,100071,usageType,5,,,,N
100305,100071,timeSlot,7,,,INTEGER EXTERNAL,N
100306,100071,serviceType,8,,,,N
100309,100071,eventCount,11,,,INTEGER EXTERNAL,N
100310,100071,sumDuration,12,,,INTEGER EXTERNAL,N
100311,100071,sumBytes,13,,,INTEGER EXTERNAL,N
100437,100071,sumValue,14,,,INTEGER EXTERNAL,N
100364,100076,currentDir,1,,,,N
100365,100076,edrFileName,2,,,,N
100366,100076,neId,3,,,,N
100367,100076,umIdentifier,4,,,,N
100368,100076,usageType,5,,,,N
100370,100076,timeSlot,7,,,INTEGER EXTERNAL,N
100371,100076,serviceType,8,,,,N
100374,100076,eventCount,11,,,INTEGER EXTERNAL,N
100375,100076,sumDuration,12,,,INTEGER EXTERNAL,N
100376,100076,sumBytes,13,,,INTEGER EXTERNAL,N
100442,100076,sumValue,14,,,INTEGER EXTERNAL,N
100377,100077,currentDir,1,,,,N
100378,100077,edrFileName,2,,,,N
100379,100077,neId,3,,,,N
100380,100077,umIdentifier,4,,,,N
100381,100077,usageType,5,,,,N
100383,100077,timeSlot,7,,,INTEGER EXTERNAL,N
100384,100077,serviceType,8,,,,N
100387,100077,eventCount,11,,,INTEGER EXTERNAL,N
100388,100077,sumDuration,12,,,INTEGER EXTERNAL,N
100389,100077,sumBytes,13,,,INTEGER EXTERNAL,N
100443,100077,sumValue,14,,,INTEGER EXTERNAL,N
100390,100078,currentDir,1,,,,N
100391,100078,edrFileName,2,,,,N
100392,100078,neId,3,,,,N
100393,100078,umIdentifier,4,,,,N
100394,100078,usageType,5,,,,N
100396,100078,timeSlot,7,,,INTEGER EXTERNAL,N
100397,100078,serviceType,8,,,,N
100400,100078,eventCount,11,,,INTEGER EXTERNAL,N
100401,100078,sumDuration,12,,,INTEGER EXTERNAL,N
100402,100078,sumBytes,13,,,INTEGER EXTERNAL,N
100444,100078,sumValue,14,,,INTEGER EXTERNAL,N
100600,100057,dummy filler,15,,,,N
100601,100057,currentDir,1,,,,N
100602,100057,edrFileName,2,,,,N
100603,100057,neId,3,,,,N
100604,100057,umIdentifier,4,,,,N
100605,100057,usageType,5,,,,N
100606,100057,timeSlot,7,,,INTEGER EXTERNAL,N
