100000,CUSTOMERCP,CUSTOMER,stg_agg_data_ds6,N,
100001,CUSTOMERCP,CUSTOMER,stg_agg_data_ds11,N,
100002,CUSTOMERCP,CUSTOMER,stg_agg_data_ds12,N,
100003,CUSTOMERCP,CUSTOMER,stg_agg_data_ds8,N,
100004,CUSTOMERCP,CUSTOMER,stg_agg_data_ds4,N,
100005,CUSTOMERCP,CUSTOMER,stg_agg_data_ds5,N,
100006,CUSTOMERCP,CUSTOMER,stg_agg_data_ds20,N,
100009,CUSTOMERCP,CUSTOMER,stg_agg_data_ds28,N,
100010,CUSTOMERCP,CUSTOMER,stg_agg_data_ds33,N,
100012,CUSTOMERCP,CUSTOMER,stg_agg_data_ds39,N,
100013,CUSTOMERCP,CUSTOMER,stg_agg_data_ds40,N,
100014,CUSTOMERCP,CUSTOMER,stg_agg_data_ds44,N,
100015,CUSTOMERCP,CUSTOMER,stg_agg_data_ds45,N,
100016,CUSTOMERCP,CUSTOMER,stg_agg_data_ds48,N,
100017,CUSTOMERCP,CUSTOMER,stg_agg_data_ds49,N,
100018,CUSTOMERCP,CUSTOMER,stg_agg_data_ds53,N,
100019,CUSTOMERCP,CUSTOMER,stg_agg_data_ds54,N,
100020,CUSTOMERCP,CUSTOMER,stg_agg_data_ds55,N,
100021,CUSTOMERCP,CUSTOMER,stg_agg_data_ds56,N,
100022,CUSTOMERCP,CUSTOMER,stg_agg_data_ds64,N,
100023,CUSTOMERCP,CUSTOMER,stg_agg_data_ds65,N,
100028,CUSTOMERCP,CUSTOMER,stg_agg_data_ds23,N,
100029,CUSTOMERCP,CUSTOMER,stg_agg_data_ds80,N,
100030,CUSTOMERCP,CUSTOMER,stg_agg_data_ds81,N,
100031,CUSTOMERCP,CUSTOMER,stg_agg_data_ds70,N,
100032,CUSTOMERCP,CUSTOMER,stg_agg_data_ds71,N,
100033,CUSTOMERCP,CUSTOMER,stg_agg_data_ds72,N,
100090,CUSTOMERCP,CUSTOMER,stg_agg_data_ds73,N,
100091,CUSTOMERCP,CUSTOMER,stg_agg_data_ds74,N,
100092,CUSTOMERCP,CUSTOMER,stg_agg_data_ds75,N,
100093,CUSTOMERCP,CUSTOMER,stg_agg_data_ds76,N,
100094,CUSTOMERCP,CUSTOMER,stg_agg_data_ds21,N,
100095,CUSTOMERCP,CUSTOMER,stg_agg_data_ds47,N,
100096,CUSTOMERCP,CUSTOMER,stg_agg_data_ds78,N,
100100,CUSTOMERCP,CUSTOMER,stg_agg_data_ds90,N,
100101,CUSTOMERCP,CUSTOMER,stg_agg_data_ds91,N,
100102,CUSTOMERCP,CUSTOMER,stg_agg_data_ds92,N,
100103,CUSTOMERCP,CUSTOMER,stg_agg_data_ds93,N,
100104,CUSTOMERCP,CUSTOMER,stg_agg_data_ds94,N,
100105,CUSTOMERCP,CUSTOMER,stg_agg_data_ds95,N,
100106,CUSTOMERCP,CUSTOMER,stg_agg_data_ds96,N,
100108,CUSTOMERCP,CUSTOMER,stg_agg_data_ds98,N,
100109,CUSTOMERCP,CUSTOMER,stg_agg_data_ds99,N,
100110,CUSTOMERCP,CUSTOMER,stg_agg_data_ds83,N,
100111,CUSTOMERCP,CUSTOMER,stg_agg_data_ds84,N,
100112,CUSTOMERCP,CUSTOMER,stg_agg_data_ds85,N,
100113,CUSTOMERCP,CUSTOMER,stg_agg_data_ds86,N,
100114,CUSTOMERCP,CUSTOMER,stg_agg_data_ds7,N,
