100060,CURRENTDIR,100156,"concat(concat(:currentDir,'/'),:edrFileName)""
100060,EDRFILENAME,100157,
100060,NEID,100158,
100060,EVENTCOUNT,100166,
100060,USAGETYPE,100160,
100060,SUMBYTES,100168,
100060,SERVICETYPE,100163,
100060,UMIDENTIFIER,100159,
100061,SUMVALUE,100427,
100061,CURRENTDIR,100169,"concat(concat(:currentDir,'/'),:edrFileName)""
100061,EDRFILENAME,100170,
100061,NEID,100171,
100061,UMIDENTIFIER,100172,
100061,USAGETYPE,100173,
100061,TIMESLOT,100175,"to_date(:timeslot,'YYYYMMDDHH24')"
100061,SUMBYTES,100181,
100061,SERVICETYPE,100176,
100061,EVENTCOUNT,100179,
100061,SUMDURATION,100180,
100062,SUMVALUE,100428,
100062,CURRENTDIR,100182,"concat(concat(:currentDir,'/'),:edrFileName)""
100062,EDRFILENAME,100183,
100062,NEID,100184,
100062,UMIDENTIFIER,100185,
100062,USAGETYPE,100186,
100062,SUMBYTES,100194,
100062,TIMESLOT,100188,"to_date(:timeslot,'YYYYMMDDHH24')"
100062,SERVICETYPE,100189,
100062,EVENTCOUNT,100192,
100062,SUMDURATION,100193,
100063,SUMVALUE,100429,
100063,CURRENTDIR,100195,"concat(concat(:currentDir,'/'),:edrFileName)""
100063,EDRFILENAME,100196,
100063,NEID,100197,
100063,UMIDENTIFIER,100198,
100063,USAGETYPE,100199,
100063,SUMBYTES,100207,
100063,TIMESLOT,100201,"to_date(:timeslot,'YYYYMMDDHH24')"
100063,SERVICETYPE,100202,
100063,EVENTCOUNT,100205,
100063,SUMDURATION,100206,
100064,SUMVALUE,100430,
100064,CURRENTDIR,100208,"concat(concat(:currentDir,'/'),:edrFileName)""
100064,EDRFILENAME,100209,
100064,NEID,100210,
100064,UMIDENTIFIER,100211,
100064,USAGETYPE,100212,
100064,SUMBYTES,100220,
100064,TIMESLOT,100214,"to_date(:timeslot,'YYYYMMDDHH24')"
100064,SERVICETYPE,100215,
100064,EVENTCOUNT,100218,
100064,SUMDURATION,100219,
100065,CURRENTDIR,100221,"concat(concat(:currentDir,'/'),:edrFileName)""
100065,EDRFILENAME,100222,
100065,NEID,100223,
100065,UMIDENTIFIER,100224,
100065,USAGETYPE,100225,
100065,TIMESLOT,100227,"to_date(:timeslot,'YYYYMMDDHH24')"
100065,SERVICETYPE,100228,
100065,EVENTCOUNT,100231,
100065,SUMDURATION,100232,
100065,SUMBYTES,100233,
100065,SUMVALUE,100431,
100066,CURRENTDIR,100234,"concat(concat(:currentDir,'/'),:edrFileName)""
100066,EDRFILENAME,100235,
100066,NEID,100236,
100066,UMIDENTIFIER,100237,
100066,USAGETYPE,100238,
100066,TIMESLOT,100240,"to_date(:timeslot,'YYYYMMDDHH24')"
100066,SERVICETYPE,100241,
100066,EVENTCOUNT,100244,
100066,SUMDURATION,100245,
100066,SUMBYTES,100246,
100066,SUMVALUE,100432,
100067,CURRENTDIR,100247,"concat(concat(:currentDir,'/'),:edrFileName)""
100067,EDRFILENAME,100248,
100067,NEID,100249,
100067,UMIDENTIFIER,100250,
100067,USAGETYPE,100251,
100067,TIMESLOT,100253,"to_date(:timeslot,'YYYYMMDDHH24')"
100067,SERVICETYPE,100254,
100067,EVENTCOUNT,100257,
100067,SUMDURATION,100258,
100067,SUMBYTES,100259,
100067,SUMVALUE,100433,
100068,CURRENTDIR,100260,"concat(concat(:currentDir,'/'),:edrFileName)""
100068,EDRFILENAME,100261,
100068,NEID,100262,
100068,UMIDENTIFIER,100263,
100068,USAGETYPE,100264,
100068,TIMESLOT,100266,"to_date(:timeslot,'YYYYMMDDHH24')"
100068,SERVICETYPE,100267,
100068,EVENTCOUNT,100270,
100068,SUMDURATION,100271,
100068,SUMBYTES,100272,
100068,SUMVALUE,100434,
100069,CURRENTDIR,100273,"concat(concat(:currentDir,'/'),:edrFileName)""
100069,EDRFILENAME,100274,
100069,NEID,100275,
100069,UMIDENTIFIER,100276,
100069,USAGETYPE,100277,
100069,TIMESLOT,100279,"to_date(:timeslot,'YYYYMMDDHH24')"
100069,SERVICETYPE,100280,
100069,EVENTCOUNT,100283,
100069,SUMDURATION,100284,
100069,SUMBYTES,100285,
100069,SUMVALUE,100435,
100070,CURRENTDIR,100286,"concat(concat(:currentDir,'/'),:edrFileName)""
100070,EDRFILENAME,100287,
100070,NEID,100288,
100070,UMIDENTIFIER,100289,
100070,USAGETYPE,100290,
100070,TIMESLOT,100292,"to_date(:timeslot,'YYYYMMDDHH24')"
100070,SERVICETYPE,100293,
100070,EVENTCOUNT,100296,
