100079,100062,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100161,100062,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100080,100063,5001,POST,30,il_success_dir gdl/accepted/DS45 il_reject_dir gdl/rejected/DS45,
100081,100063,5017,INIT,10,,
100082,100063,5007,POST,20,,
100083,100063,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds45 -scn sql -et U,
100084,100063,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100162,100063,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100085,100064,5001,POST,30,il_success_dir gdl/accepted/DS48 il_reject_dir gdl/rejected/DS48,
100086,100064,5017,INIT,10,,
100087,100064,5007,POST,20,,
100088,100064,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds48 -scn sql -et U,
100089,100064,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100163,100064,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100090,100065,5001,POST,30,il_success_dir gdl/accepted/DS49 il_reject_dir gdl/rejected/DS49,
100091,100065,5017,INIT,10,,
100092,100065,5007,POST,20,,
100093,100065,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds49 -scn sql -et U,
100094,100065,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100164,100065,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100095,100066,5001,POST,30,il_success_dir gdl/accepted/DS53 il_reject_dir gdl/rejected/DS53,
100096,100066,5017,INIT,10,,
100097,100066,5007,POST,20,,
100098,100066,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds53 -scn sql -et U,
100099,100066,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100165,100066,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100100,100067,5001,POST,30,il_success_dir gdl/accepted/DS54 il_reject_dir gdl/rejected/DS54,
100101,100067,5017,INIT,10,,
100102,100067,5007,POST,20,,
100103,100067,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds54 -scn sql -et U,
100104,100067,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100166,100067,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100105,100068,5001,POST,30,il_success_dir gdl/accepted/DS55 il_reject_dir gdl/rejected/DS55,
100106,100068,5017,INIT,10,,
100107,100068,5007,POST,20,,
100108,100068,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds55 -scn sql -et U,
100109,100068,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100167,100068,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100110,100069,5001,POST,30,il_success_dir gdl/accepted/DS56 il_reject_dir gdl/rejected/DS56,
100111,100069,5017,INIT,10,,
100112,100069,5007,POST,20,,
100113,100069,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds56 -scn sql -et U,
100114,100069,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100168,100069,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100115,100070,5001,POST,30,il_success_dir gdl/accepted/DS64 il_reject_dir gdl/rejected/DS64,
100116,100070,5017,INIT,10,,
100117,100070,5007,POST,20,,
100118,100070,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds64 -scn sql -et U,
100119,100070,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100169,100070,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100120,100071,5001,POST,30,il_success_dir gdl/accepted/DS65 il_reject_dir gdl/rejected/DS65,
100121,100071,5017,INIT,10,,
100122,100071,5007,POST,20,,
100123,100071,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds65 -scn sql -et U,
