DS11,day,1233,0.1,1,21,100143
DS12,day,1651,0.1,,21,100124
DS20,day,0,0.1,3,21,100105
DS21,day,25,0.1,7,21,100164
DS23,day,0,0.1,7,21,100110
DS28,day,1746,0.1,1,21,100102
DS33,day,591,0.1,1,21,100145
DS39,day,6,0.1,1,21,100144
DS4,day,1830,0.1,1,21,100142
DS40,day,0,0.1,1,21,100122
DS44,day,0,0.1,1,21,100103
DS45,day,729,0.1,7,21,100147
DS47,day,25,0.1,1,21,100165
DS48,day,153,0.1,1,21,100108
DS49,day,22,0.05,1,21,100101
DS5,day,6807,0.1,,21,100140
DS54,day,1674,0.1,1,21,100107
DS55,day,167,0.1,2,21,100141
DS6,day,1,0,7,21,100120
DS64,day,135,0.1,1,21,100146
DS65,day,21,0.05,1,21,100100
DS7,month,1,0.1,1,60,100182
DS70,day,25,0.1,1,21,100150
DS71,day,25,0.1,1,21,100151
DS72,day,25,0.1,1,21,100152
DS73,day,25,0.1,1,21,100160
DS74,day,25,0.1,1,21,100161
DS75,day,25,0.1,1,21,100162
DS75,day,25,0.1,1,21,100162
DS76,day,25,0.1,2,21,100163
DS76,day,25,0.1,1,21,100163
DS78,day,25,0.1,2,21,100166
DS8,day,1634,0.1,1,21,100106
DS80,day,47,0.1,,21,100123
DS81,day,71,0.1,,21,100121
DS83,day,1440,0.1,1,21,100180
DS84,day,1,0.1,1,21,100181
DS85,day,6,0.1,1,21,100144
DS86,day,144,0.1,2,21,100141
DS90,day,25,0.1,1,21,100170
DS91,day,25,0.1,1,21,100171
DS92,day,25,0.1,1,21,100172
DS93,day,25,0.1,1,21,100173
DS94,day,25,0.1,1,21,100174
DS95,day,25,0.1,1,21,100175
DS96,day,25,0.1,1,21,100176
DS98,day,25,0.1,1,21,100177
DS99,day,25,0.1,1,21,100178
