1,Just Mobile,MVNO,Just Mobile,JM,272011110000000,272011119999999,100072
2,Postfone,MVNO,Postfone,AP,272011100000000,272011109999999,100073
3,e-Mobile,MVNO,e-Mobile,,272032000000000,272032099999999,100074
4,Meteor,MVNO,Meteor,,272030000000000,272039999999999,100075
5,Hutchinson,MVNO,Hutchinson,,272050000000000,272059999999999,100076
6,Tesco,MVNO,Tesco,,272110000000000,272119999999999,100077
7,Lyca Mobile,MVNO,Lyca Mobile,LY,272130000000000,272139999999999,100078
8,UPC,MVNO,UPC,,272150000000000,272159999999999,100079
9,Carphone Warehouse,MVNO,Carphone Warehouse,,272160000000000,272169999999999,100080
