100211,100210
100212,100211
100213,100212
100214,100213
100263,100214
100264,100263
100267,100264
100268,100267
100270,100268
100271,100270
100272,100271
100273,100272
100274,100273
100275,100274
100277,100275
100278,100277
100280,100278
100281,100280
100286,100281
100287,100286
100288,100287
100320,100310
100710,104190
100711,104165
100712,104134
100713,104153
100715,104130
100716,104105
100717,104173
100718,104161
100720,104194
100730,104101
100731,104202
100732,104149
100733,104198
100734,104118
100750,104126
100751,104178
100752,104122
100753,104114
100754,104145
100755,104141
100756,104186
100757,104157
103000,102000
104000,103000
104101,104100
104105,104104
104114,104113
104118,104117
104122,104121
104126,104125
104130,104129
104134,104133
104141,104140
104145,104144
104149,104148
104153,104152
104157,104156
104161,104160
104165,104164
104173,104172
104178,104177
104186,104185
104190,104189
104194,104193
104198,104197
104202,104201
105000,104000
106000,105000
106002,106001
106003,106002
106004,106003
107000,106000
107005,107004
107006,107005
100289,100288
100290,100289
100291,100290
104205,104204
100758,104205
104207,104206
100759,104207
104209,104208
100760,104209
100295,100294
100294,100293
100293,100292
100292,100291
100764,104517
100763,104515
100762,104513
100761,104511
104517,104516
104515,104514
104513,104512
104511,104510
100297,100296
100298,100297
100765,104519
100766,104521
100767,104523
104519,104518
104521,104520
104523,104522
100300,100298
100301,100300
100302,100301
100303,100302
100304,100303
100305,100304
100306,100305
100307,100306
100308,100307
100770,104531
100771,104533
100772,104535
100773,104537
100774,104539
100775,104541
100776,104543
100777,104545
100778,104547
104531,104530
104533,104532
104535,104534
104537,104536
104539,104538
104541,104540
104543,104542
104545,104544
106005,106004
110309,100308
110310,110309
110311,110310
110312,110311
110313,110312
100779,104549
100780,104551
100781,104553
104547,104546
104549,104548
104551,104550
104553,104552
